Ticker,ATOS_Universe,Priority
UNH,Hybrid / Portfolio,60
PFE,Hybrid / Portfolio,61
AMGN,Hybrid / Portfolio,62
GILD,Hybrid / Portfolio,63
BMY,Hybrid / Portfolio,64
CVS,Hybrid / Portfolio,65
CI,Hybrid / Portfolio,66
MDT,Hybrid / Portfolio,67
SYK,Hybrid / Portfolio,68
BSX,Hybrid / Portfolio,69
ELV,Hybrid / Portfolio,70
LIN,Hybrid / Portfolio,71
APD,Hybrid / Portfolio,72
SHW,Hybrid / Portfolio,73
ECL,Hybrid / Portfolio,74
DE,Hybrid / Portfolio,75
ETN,Hybrid / Portfolio,76
PH,Hybrid / Portfolio,77
UNP,Hybrid / Portfolio,78
UPS,Hybrid / Portfolio,79
RTX,Hybrid / Portfolio,80
LMT,Hybrid / Portfolio,81
NOC,Hybrid / Portfolio,82
GD,Hybrid / Portfolio,83
HON,Hybrid / Portfolio,84
BA,Hybrid / Portfolio,85
MMM,Hybrid / Portfolio,86
WM,Hybrid / Portfolio,87
RSG,Hybrid / Portfolio,88
EMR,Hybrid / Portfolio,89
ITW,Hybrid / Portfolio,90
CTAS,Hybrid / Portfolio,91
FAST,Hybrid / Portfolio,92
ROP,Hybrid / Portfolio,93
ADP,Hybrid / Portfolio,94
PAYX,Hybrid / Portfolio,95
FIS,Hybrid / Portfolio,96
GPN,Hybrid / Portfolio,97
GS,Hybrid / Portfolio,98
MS,Hybrid / Portfolio,99
BLK,Hybrid / Portfolio,100
SCHW,Hybrid / Portfolio,101
C,Hybrid / Portfolio,102
CB,Hybrid / Portfolio,103
AXP,Hybrid / Portfolio,104
COF,Hybrid / Portfolio,105
USB,Hybrid / Portfolio,106
PNC,Hybrid / Portfolio,107
TFC,Hybrid / Portfolio,108
STT,Hybrid / Portfolio,109
CME,Hybrid / Portfolio,110
ICE,Hybrid / Portfolio,111
SPGI,Hybrid / Portfolio,112
MCO,Hybrid / Portfolio,113
AJG,Hybrid / Portfolio,114
AON,Hybrid / Portfolio,115
TRV,Hybrid / Portfolio,116
ALL,Hybrid / Portfolio,117
PGR,Hybrid / Portfolio,118
MET,Hybrid / Portfolio,119
PRU,Hybrid / Portfolio,120
AFL,Hybrid / Portfolio,121
ACGL,Hybrid / Portfolio,122
COP,Hybrid / Portfolio,123
EOG,Hybrid / Portfolio,124
SLB,Hybrid / Portfolio,125
OXY,Hybrid / Portfolio,126
MPC,Hybrid / Portfolio,127
PSX,Hybrid / Portfolio,128
VLO,Hybrid / Portfolio,129
WMB,Hybrid / Portfolio,130
KMI,Hybrid / Portfolio,131
HAL,Hybrid / Portfolio,132
DVN,Hybrid / Portfolio,133
FANG,Hybrid / Portfolio,134
PEP,Hybrid / Portfolio,135
PM,Hybrid / Portfolio,136
MO,Hybrid / Portfolio,137
MDLZ,Hybrid / Portfolio,138
KHC,Hybrid / Portfolio,139
GIS,Hybrid / Portfolio,140
KR,Hybrid / Portfolio,141
CL,Hybrid / Portfolio,142
CLX,Hybrid / Portfolio,143
KMB,Hybrid / Portfolio,144
HSY,Hybrid / Portfolio,145
SJM,Hybrid / Portfolio,146
CAG,Hybrid / Portfolio,147
MKC,Hybrid / Portfolio,148
HRL,Hybrid / Portfolio,149
TGT,Hybrid / Portfolio,150
DG,Hybrid / Portfolio,151
DLTR,Hybrid / Portfolio,152
ORLY,Hybrid / Portfolio,153
AZO,Hybrid / Portfolio,154
CMG,Hybrid / Portfolio,155
YUM,Hybrid / Portfolio,156
DPZ,Hybrid / Portfolio,157
DRI,Hybrid / Portfolio,158
MAR,Hybrid / Portfolio,159
HLT,Hybrid / Portfolio,160
RCL,Hybrid / Portfolio,161
CCL,Hybrid / Portfolio,162
NCLH,Hybrid / Portfolio,163
MGM,Hybrid / Portfolio,164
WYNN,Hybrid / Portfolio,165
LVS,Hybrid / Portfolio,166
LULU,Hybrid / Portfolio,167
ROST,Hybrid / Portfolio,168
ANF,Hybrid / Portfolio,169
URBN,Hybrid / Portfolio,170
DECK,Hybrid / Portfolio,171
TPR,Hybrid / Portfolio,172
RL,Hybrid / Portfolio,173
GM,Hybrid / Portfolio,174
F,Hybrid / Portfolio,175
FDX,Hybrid / Portfolio,176
DAL,Hybrid / Portfolio,177
UAL,Hybrid / Portfolio,178
LUV,Hybrid / Portfolio,179
AAL,Hybrid / Portfolio,180
CSX,Hybrid / Portfolio,181
NSC,Hybrid / Portfolio,182
JBHT,Hybrid / Portfolio,183
ODFL,Hybrid / Portfolio,184
XPO,Hybrid / Portfolio,185
LEN,Hybrid / Portfolio,186
DHI,Hybrid / Portfolio,187
PHM,Hybrid / Portfolio,188
NVR,Hybrid / Portfolio,189
TOL,Hybrid / Portfolio,190
VMC,Hybrid / Portfolio,191
MLM,Hybrid / Portfolio,192
NUE,Hybrid / Portfolio,193
STLD,Hybrid / Portfolio,194
CMC,Hybrid / Portfolio,195
AA,Hybrid / Portfolio,196
FCX,Hybrid / Portfolio,197
NEM,Hybrid / Portfolio,198
APO,Hybrid / Portfolio,199
ARES,Hybrid / Portfolio,200
KKR,Hybrid / Portfolio,201
BX,Hybrid / Portfolio,202
TROW,Hybrid / Portfolio,203
BEN,Hybrid / Portfolio,204
RJF,Hybrid / Portfolio,205
AMP,Hybrid / Portfolio,206
COIN,Swing / Momentum,207
HOOD,Swing / Momentum,208
CBOE,Hybrid / Portfolio,209
IBKR,Hybrid / Portfolio,210
PYPL,Hybrid / Portfolio,211
SOFI,Swing / Momentum,212
AFRM,Swing / Momentum,213
INTC,Hybrid / Portfolio,214
WDC,Swing / Momentum,215
STX,Swing / Momentum,216
HPQ,Hybrid / Portfolio,217
DELL,Hybrid / Portfolio,218
HPE,Hybrid / Portfolio,219
NTAP,Hybrid / Portfolio,220
WDAY,Hybrid / Portfolio,221
VEEV,Hybrid / Portfolio,222
ADSK,Hybrid / Portfolio,223
CDNS,Hybrid / Portfolio,224
SNPS,Hybrid / Portfolio,225
FTNT,Hybrid / Portfolio,226
MRVL,Swing / Momentum,227
ON,Hybrid / Portfolio,228
MCHP,Hybrid / Portfolio,229
MPWR,Hybrid / Portfolio,230
NXPI,Hybrid / Portfolio,231
STM,Hybrid / Portfolio,232
TER,Hybrid / Portfolio,233
KEYS,Hybrid / Portfolio,234
ANET,Hybrid / Portfolio,235
SMCI,Swing / Momentum,236
ARM,Swing / Momentum,237
ADI,Hybrid / Portfolio,238
CDW,Hybrid / Portfolio,239
GLW,Hybrid / Portfolio,240
TT,Hybrid / Portfolio,241
ROK,Hybrid / Portfolio,242
OTIS,Hybrid / Portfolio,243
CMI,Hybrid / Portfolio,244
PCAR,Hybrid / Portfolio,245
URI,Hybrid / Portfolio,246
GWW,Hybrid / Portfolio,247
IR,Hybrid / Portfolio,248
VRT,Swing / Momentum,249
PWR,Hybrid / Portfolio,250
FIX,Hybrid / Portfolio,251
EME,Hybrid / Portfolio,252
MAS,Hybrid / Portfolio,253
PAYC,Hybrid / Portfolio,254
EQH,Hybrid / Portfolio,255
AIG,Hybrid / Portfolio,256
CINF,Hybrid / Portfolio,257
WRB,Hybrid / Portfolio,258
HIG,Hybrid / Portfolio,259
FNF,Hybrid / Portfolio,260
BRO,Hybrid / Portfolio,261
RLI,Hybrid / Portfolio,262
ERIE,Hybrid / Portfolio,263
SYF,Hybrid / Portfolio,264
ALLY,Hybrid / Portfolio,265
FITB,Hybrid / Portfolio,266
KEY,Hybrid / Portfolio,267
RF,Hybrid / Portfolio,268
HBAN,Hybrid / Portfolio,269
ZION,Hybrid / Portfolio,270
CFG,Hybrid / Portfolio,271
NDAQ,Hybrid / Portfolio,272
MSCI,Hybrid / Portfolio,273
NTRS,Hybrid / Portfolio,274
EXPE,Hybrid / Portfolio,275
DASH,Swing / Momentum,276
LYFT,Hybrid / Portfolio,277
RIVN,Hybrid / Portfolio,278
FSLR,Swing / Momentum,279
ENPH,Swing / Momentum,280
SEDG,Hybrid / Portfolio,281
RUN,Hybrid / Portfolio,282
SMR,Swing / Momentum,283
GEV,Swing / Momentum,284
BKR,Hybrid / Portfolio,285
EQT,Hybrid / Portfolio,286
OKE,Hybrid / Portfolio,287
TRGP,Hybrid / Portfolio,288
CHTR,Hybrid / Portfolio,289
CMCSA,Hybrid / Portfolio,290
T,Hybrid / Portfolio,291
VZ,Hybrid / Portfolio,292
TMUS,Hybrid / Portfolio,293
DIS,Hybrid / Portfolio,294
FOXA,Hybrid / Portfolio,295
SPOT,Hybrid / Portfolio,296
ROKU,Swing / Momentum,297
TTD,Swing / Momentum,298
PINS,Swing / Momentum,299
SNAP,Hybrid / Portfolio,300
EA,Hybrid / Portfolio,301
TTWO,Hybrid / Portfolio,302
RBLX,Swing / Momentum,303
U,Hybrid / Portfolio,304
GDDY,Hybrid / Portfolio,305
ZM,Hybrid / Portfolio,306
DOCU,Hybrid / Portfolio,307
DDOG,Swing / Momentum,308
MDB,Swing / Momentum,309
NET,Swing / Momentum,310
TEAM,Hybrid / Portfolio,311
HUBS,Hybrid / Portfolio,312
ZS,Hybrid / Portfolio,313
OKTA,Hybrid / Portfolio,314
APP,Swing / Momentum,315
DUOL,Swing / Momentum,316
SE,Hybrid / Portfolio,317
MELI,Hybrid / Portfolio,318
NU,Hybrid / Portfolio,319
DKNG,Swing / Momentum,320
FLUT,Hybrid / Portfolio,321
PENN,Hybrid / Portfolio,322
CAVA,Swing / Momentum,323
BROS,Hybrid / Portfolio,324
CELH,Swing / Momentum,325
ULTA,Hybrid / Portfolio,326
ONON,Swing / Momentum,327
DKS,Hybrid / Portfolio,328
CVNA,Swing / Momentum,329
CHWY,Hybrid / Portfolio,330
ETSY,Hybrid / Portfolio,331
EBAY,Hybrid / Portfolio,332
W,Hybrid / Portfolio,333
RH,Hybrid / Portfolio,334
WSM,Hybrid / Portfolio,335
BOOT,Hybrid / Portfolio,336
FIVE,Hybrid / Portfolio,337
OLLI,Hybrid / Portfolio,338
BJ,Hybrid / Portfolio,339
CASY,Hybrid / Portfolio,340
SYY,Hybrid / Portfolio,341
USFD,Hybrid / Portfolio,342
PFGC,Hybrid / Portfolio,343
ADM,Hybrid / Portfolio,344
BG,Hybrid / Portfolio,345
AGCO,Hybrid / Portfolio,346
CF,Hybrid / Portfolio,347
MOS,Hybrid / Portfolio,348
NTR,Hybrid / Portfolio,349
CTVA,Hybrid / Portfolio,350
IFF,Hybrid / Portfolio,351
ALB,Hybrid / Portfolio,352
BALL,Hybrid / Portfolio,353
AVY,Hybrid / Portfolio,354
SCCO,Hybrid / Portfolio,355
MP,Hybrid / Portfolio,356
CLF,Hybrid / Portfolio,357
J,Hybrid / Portfolio,358
ACM,Hybrid / Portfolio,359
WAB,Hybrid / Portfolio,360
GATX,Hybrid / Portfolio,361
CNI,Hybrid / Portfolio,362
BURL,Hybrid / Portfolio,363
BBY,Hybrid / Portfolio,364
TSCO,Hybrid / Portfolio,365
QSR,Hybrid / Portfolio,366
CRDO,Swing / Momentum,367
ALAB,Swing / Momentum,368
COHR,Swing / Momentum,369
LITE,Swing / Momentum,370
CIEN,Hybrid / Portfolio,371
FICO,Hybrid / Portfolio,372
AME,Hybrid / Portfolio,373
XYL,Hybrid / Portfolio,374
IEX,Hybrid / Portfolio,375
DOV,Hybrid / Portfolio,376
GNRC,Hybrid / Portfolio,377
SWK,Hybrid / Portfolio,378
SAIA,Hybrid / Portfolio,379
EXPD,Hybrid / Portfolio,380
CHRW,Hybrid / Portfolio,381
WFC,Hybrid / Portfolio,382
WTW,Hybrid / Portfolio,383
HUM,Hybrid / Portfolio,384
CNC,Hybrid / Portfolio,385
HCA,Hybrid / Portfolio,386
THC,Hybrid / Portfolio,387
ABT,Hybrid / Portfolio,388
BDX,Hybrid / Portfolio,389
EW,Hybrid / Portfolio,390
RMD,Hybrid / Portfolio,391
ZBH,Hybrid / Portfolio,392
IDXX,Hybrid / Portfolio,393
VRTX,Hybrid / Portfolio,394
REGN,Hybrid / Portfolio,395
BIIB,Hybrid / Portfolio,396
ALNY,Hybrid / Portfolio,397
MRNA,Hybrid / Portfolio,398
BNTX,Hybrid / Portfolio,399
AZN,Hybrid / Portfolio,400
GSK,Hybrid / Portfolio,401
ZTS,Hybrid / Portfolio,402
EL,Hybrid / Portfolio,403
MNST,Hybrid / Portfolio,404
KDP,Hybrid / Portfolio,405
STZ,Hybrid / Portfolio,406
TAP,Hybrid / Portfolio,407
NTES,Hybrid / Portfolio,408
APH,Hybrid / Portfolio,409
BLDR,Hybrid / Portfolio,410
CACI,Hybrid / Portfolio,411
CHKP,Hybrid / Portfolio,412
CLSK,Swing / Momentum,413
CNM,Hybrid / Portfolio,414
CPNG,Hybrid / Portfolio,415
CRSP,Hybrid / Portfolio,416
DINO,Hybrid / Portfolio,417
DOCN,Hybrid / Portfolio,418
ENTG,Hybrid / Portfolio,419
FIVN,Hybrid / Portfolio,420
FND,Hybrid / Portfolio,421
FTDR,Hybrid / Portfolio,422
FTAI,Hybrid / Portfolio,423
GFS,Hybrid / Portfolio,424
GMED,Hybrid / Portfolio,425
GMAB,Hybrid / Portfolio,426
GTLB,Hybrid / Portfolio,427
HIMS,Swing / Momentum,428
