Ticker,ATOS_Universe,Priority
SYK,Hybrid / Portfolio,60
BSX,Hybrid / Portfolio,61
ELV,Hybrid / Portfolio,62
LIN,Hybrid / Portfolio,63
APD,Hybrid / Portfolio,64
SHW,Hybrid / Portfolio,65
ECL,Hybrid / Portfolio,66
DE,Hybrid / Portfolio,67
ETN,Hybrid / Portfolio,68
PH,Hybrid / Portfolio,69
UNP,Hybrid / Portfolio,70
UPS,Hybrid / Portfolio,71
RTX,Hybrid / Portfolio,72
LMT,Hybrid / Portfolio,73
NOC,Hybrid / Portfolio,74
GD,Hybrid / Portfolio,75
HON,Hybrid / Portfolio,76
BA,Hybrid / Portfolio,77
MMM,Hybrid / Portfolio,78
WM,Hybrid / Portfolio,79
RSG,Hybrid / Portfolio,80
EMR,Hybrid / Portfolio,81
ITW,Hybrid / Portfolio,82
CTAS,Hybrid / Portfolio,83
FAST,Hybrid / Portfolio,84
ROP,Hybrid / Portfolio,85
ADP,Hybrid / Portfolio,86
PAYX,Hybrid / Portfolio,87
FIS,Hybrid / Portfolio,88
FISV,Hybrid / Portfolio,89
GPN,Hybrid / Portfolio,90
GS,Hybrid / Portfolio,91
MS,Hybrid / Portfolio,92
BLK,Hybrid / Portfolio,93
SCHW,Hybrid / Portfolio,94
CB,Hybrid / Portfolio,95
AXP,Hybrid / Portfolio,96
COF,Hybrid / Portfolio,97
STT,Hybrid / Portfolio,98
CME,Hybrid / Portfolio,99
ICE,Hybrid / Portfolio,100
SPGI,Hybrid / Portfolio,101
MCO,Hybrid / Portfolio,102
AJG,Hybrid / Portfolio,103
AON,Hybrid / Portfolio,104
TRV,Hybrid / Portfolio,105
PGR,Hybrid / Portfolio,106
AFL,Hybrid / Portfolio,107
ACGL,Hybrid / Portfolio,108
EOG,Hybrid / Portfolio,109
WMB,Hybrid / Portfolio,110
KMI,Hybrid / Portfolio,111
PEP,Hybrid / Portfolio,112
MDLZ,Hybrid / Portfolio,113
KHC,Hybrid / Portfolio,114
KR,Hybrid / Portfolio,115
CL,Hybrid / Portfolio,116
CLX,Hybrid / Portfolio,117
KMB,Hybrid / Portfolio,118
HSY,Hybrid / Portfolio,119
TGT,Hybrid / Portfolio,120
DG,Hybrid / Portfolio,121
DLTR,Hybrid / Portfolio,122
ORLY,Hybrid / Portfolio,123
AZO,Hybrid / Portfolio,124
CMG,Hybrid / Portfolio,125
YUM,Hybrid / Portfolio,126
DPZ,Hybrid / Portfolio,127
DRI,Hybrid / Portfolio,128
MAR,Hybrid / Portfolio,129
HLT,Hybrid / Portfolio,130
RCL,Hybrid / Portfolio,131
CCL,Hybrid / Portfolio,132
NCLH,Hybrid / Portfolio,133
MGM,Hybrid / Portfolio,134
WYNN,Hybrid / Portfolio,135
LVS,Hybrid / Portfolio,136
LULU,Hybrid / Portfolio,137
ROST,Hybrid / Portfolio,138
URBN,Hybrid / Portfolio,139
DECK,Hybrid / Portfolio,140
TPR,Hybrid / Portfolio,141
RL,Hybrid / Portfolio,142
GM,Hybrid / Portfolio,143
F,Hybrid / Portfolio,144
FDX,Hybrid / Portfolio,145
DAL,Hybrid / Portfolio,146
UAL,Hybrid / Portfolio,147
LUV,Hybrid / Portfolio,148
AAL,Hybrid / Portfolio,149
CSX,Hybrid / Portfolio,150
NSC,Hybrid / Portfolio,151
JBHT,Hybrid / Portfolio,152
ODFL,Hybrid / Portfolio,153
XPO,Hybrid / Portfolio,154
LEN,Hybrid / Portfolio,155
DHI,Hybrid / Portfolio,156
PHM,Hybrid / Portfolio,157
NVR,Hybrid / Portfolio,158
TOL,Hybrid / Portfolio,159
VMC,Hybrid / Portfolio,160
MLM,Hybrid / Portfolio,161
STLD,Hybrid / Portfolio,162
CMC,Hybrid / Portfolio,163
APO,Hybrid / Portfolio,164
ARES,Hybrid / Portfolio,165
KKR,Hybrid / Portfolio,166
BX,Hybrid / Portfolio,167
TROW,Hybrid / Portfolio,168
BEN,Hybrid / Portfolio,169
RJF,Hybrid / Portfolio,170
AMP,Hybrid / Portfolio,171
CBOE,Hybrid / Portfolio,172
IBKR,Hybrid / Portfolio,173
PYPL,Hybrid / Portfolio,174
SOFI,Swing / Momentum,175
AFRM,Swing / Momentum,176
INTC,Hybrid / Portfolio,177
WDC,Swing / Momentum,178
STX,Swing / Momentum,179
HPQ,Hybrid / Portfolio,180
DELL,Hybrid / Portfolio,181
HPE,Hybrid / Portfolio,182
NTAP,Hybrid / Portfolio,183
WDAY,Hybrid / Portfolio,184
VEEV,Hybrid / Portfolio,185
ADSK,Hybrid / Portfolio,186
CDNS,Hybrid / Portfolio,187
SNPS,Hybrid / Portfolio,188
FTNT,Hybrid / Portfolio,189
MRVL,Swing / Momentum,190
ON,Hybrid / Portfolio,191
MCHP,Hybrid / Portfolio,192
MPWR,Hybrid / Portfolio,193
NXPI,Hybrid / Portfolio,194
STM,Hybrid / Portfolio,195
TER,Hybrid / Portfolio,196
KEYS,Hybrid / Portfolio,197
ANET,Hybrid / Portfolio,198
ARM,Swing / Momentum,199
ADI,Hybrid / Portfolio,200
CDW,Hybrid / Portfolio,201
GLW,Hybrid / Portfolio,202
TT,Hybrid / Portfolio,203
ROK,Hybrid / Portfolio,204
OTIS,Hybrid / Portfolio,205
CMI,Hybrid / Portfolio,206
PCAR,Hybrid / Portfolio,207
URI,Hybrid / Portfolio,208
GWW,Hybrid / Portfolio,209
IR,Hybrid / Portfolio,210
VRT,Swing / Momentum,211
PWR,Hybrid / Portfolio,212
FIX,Hybrid / Portfolio,213
EME,Hybrid / Portfolio,214
MAS,Hybrid / Portfolio,215
PAYC,Hybrid / Portfolio,216
EQH,Hybrid / Portfolio,217
CINF,Hybrid / Portfolio,218
WRB,Hybrid / Portfolio,219
FNF,Hybrid / Portfolio,220
BRO,Hybrid / Portfolio,221
RLI,Hybrid / Portfolio,222
ERIE,Hybrid / Portfolio,223
SYF,Hybrid / Portfolio,224
NDAQ,Hybrid / Portfolio,225
MSCI,Hybrid / Portfolio,226
NTRS,Hybrid / Portfolio,227
EXPE,Hybrid / Portfolio,228
DASH,Swing / Momentum,229
LYFT,Hybrid / Portfolio,230
RIVN,Hybrid / Portfolio,231
FSLR,Swing / Momentum,232
ENPH,Swing / Momentum,233
SEDG,Hybrid / Portfolio,234
RUN,Hybrid / Portfolio,235
SMR,Swing / Momentum,236
GEV,Swing / Momentum,237
OKE,Hybrid / Portfolio,238
TRGP,Hybrid / Portfolio,239
CHTR,Hybrid / Portfolio,240
CMCSA,Hybrid / Portfolio,241
TMUS,Hybrid / Portfolio,242
DIS,Hybrid / Portfolio,243
FOXA,Hybrid / Portfolio,244
SPOT,Hybrid / Portfolio,245
ROKU,Swing / Momentum,246
TTD,Swing / Momentum,247
PINS,Swing / Momentum,248
SNAP,Hybrid / Portfolio,249
EA,Hybrid / Portfolio,250
TTWO,Hybrid / Portfolio,251
RBLX,Swing / Momentum,252
U,Hybrid / Portfolio,253
GDDY,Hybrid / Portfolio,254
ZM,Hybrid / Portfolio,255
DOCU,Hybrid / Portfolio,256
DDOG,Swing / Momentum,257
MDB,Swing / Momentum,258
NET,Swing / Momentum,259
TEAM,Hybrid / Portfolio,260
HUBS,Hybrid / Portfolio,261
ZS,Hybrid / Portfolio,262
OKTA,Hybrid / Portfolio,263
APP,Swing / Momentum,264
DUOL,Swing / Momentum,265
SE,Hybrid / Portfolio,266
MELI,Hybrid / Portfolio,267
NU,Hybrid / Portfolio,268
DKNG,Swing / Momentum,269
FLUT,Hybrid / Portfolio,270
PENN,Hybrid / Portfolio,271
CAVA,Swing / Momentum,272
BROS,Hybrid / Portfolio,273
CELH,Swing / Momentum,274
ULTA,Hybrid / Portfolio,275
ONON,Swing / Momentum,276
DKS,Hybrid / Portfolio,277
CVNA,Swing / Momentum,278
CHWY,Hybrid / Portfolio,279
ETSY,Hybrid / Portfolio,280
EBAY,Hybrid / Portfolio,281
W,Hybrid / Portfolio,282
RH,Hybrid / Portfolio,283
WSM,Hybrid / Portfolio,284
BOOT,Hybrid / Portfolio,285
FIVE,Hybrid / Portfolio,286
OLLI,Hybrid / Portfolio,287
BJ,Hybrid / Portfolio,288
CASY,Hybrid / Portfolio,289
SYY,Hybrid / Portfolio,290
USFD,Hybrid / Portfolio,291
PFGC,Hybrid / Portfolio,292
ADM,Hybrid / Portfolio,293
BG,Hybrid / Portfolio,294
AGCO,Hybrid / Portfolio,295
CF,Hybrid / Portfolio,296
MOS,Hybrid / Portfolio,297
NTR,Hybrid / Portfolio,298
CTVA,Hybrid / Portfolio,299
IFF,Hybrid / Portfolio,300
ALB,Hybrid / Portfolio,301
BALL,Hybrid / Portfolio,302
AVY,Hybrid / Portfolio,303
SCCO,Hybrid / Portfolio,304
J,Hybrid / Portfolio,305
ACM,Hybrid / Portfolio,306
WAB,Hybrid / Portfolio,307
GATX,Hybrid / Portfolio,308
CNI,Hybrid / Portfolio,309
BURL,Hybrid / Portfolio,310
BBY,Hybrid / Portfolio,311
TSCO,Hybrid / Portfolio,312
QSR,Hybrid / Portfolio,313
CRDO,Swing / Momentum,314
ALAB,Swing / Momentum,315
COHR,Swing / Momentum,316
LITE,Swing / Momentum,317
CIEN,Hybrid / Portfolio,318
FICO,Hybrid / Portfolio,319
AME,Hybrid / Portfolio,320
XYL,Hybrid / Portfolio,321
IEX,Hybrid / Portfolio,322
DOV,Hybrid / Portfolio,323
GNRC,Hybrid / Portfolio,324
SWK,Hybrid / Portfolio,325
SAIA,Hybrid / Portfolio,326
EXPD,Hybrid / Portfolio,327
CHRW,Hybrid / Portfolio,328
WTW,Hybrid / Portfolio,329
HUM,Hybrid / Portfolio,330
CNC,Hybrid / Portfolio,331
HCA,Hybrid / Portfolio,332
THC,Hybrid / Portfolio,333
ABT,Hybrid / Portfolio,334
BDX,Hybrid / Portfolio,335
EW,Hybrid / Portfolio,336
RMD,Hybrid / Portfolio,337
ZBH,Hybrid / Portfolio,338
IDXX,Hybrid / Portfolio,339
VRTX,Hybrid / Portfolio,340
REGN,Hybrid / Portfolio,341
BIIB,Hybrid / Portfolio,342
ALNY,Hybrid / Portfolio,343
MRNA,Hybrid / Portfolio,344
BNTX,Hybrid / Portfolio,345
AZN,Hybrid / Portfolio,346
GSK,Hybrid / Portfolio,347
ZTS,Hybrid / Portfolio,348
EL,Hybrid / Portfolio,349
MNST,Hybrid / Portfolio,350
APH,Hybrid / Portfolio,351
BLDR,Hybrid / Portfolio,352
CACI,Hybrid / Portfolio,353
CHKP,Hybrid / Portfolio,354
CNM,Hybrid / Portfolio,355
DOCN,Hybrid / Portfolio,356
ENTG,Hybrid / Portfolio,357
FIVN,Hybrid / Portfolio,358
FND,Hybrid / Portfolio,359
FTDR,Hybrid / Portfolio,360
GFS,Hybrid / Portfolio,361
GMED,Hybrid / Portfolio,362
GTLB,Hybrid / Portfolio,363
